reward/reward_mean;reward/reward_max;reward/reward_min;reward/reward_std;loss/bellman_error;misc/q;misc/q_est;misc/epsilon;misc/timestep
500.0;500.0;500.0;0.0;0.35062443949701266;49.650429328918456;49.979854438781736;0.13430000000013692;36500
500.0;500.0;500.0;0.0;0.3399508648943156;50.037626693725585;50.357184288024904;0.1334000000001388;37000
500.0;500.0;500.0;0.0;0.3835965342365671;50.33897267913818;50.69875121307373;0.13250000000014067;37500
500.0;500.0;500.0;0.0;0.35653947532502933;50.738793670654296;51.07248512268066;0.13160000000014255;38000
500.0;500.0;500.0;0.0;0.32341860050009563;51.277940643310544;51.58009273529053;0.13070000000014442;38500
500.0;500.0;500.0;0.0;0.337558481734246;51.77767671203613;52.09189665985107;0.1298000000001463;39000
500.0;500.0;500.0;0.0;0.3539669122006744;52.2019221572876;52.533207206726075;0.12890000000014817;39500
500.0;500.0;500.0;0.0;0.299066376271192;52.59261341094971;52.86841585540771;0.12800000000015005;40000
500.0;500.0;500.0;0.0;0.38321415550261734;53.065884384155275;53.42548984527588;0.12710000000015192;40500
500.0;500.0;500.0;0.0;0.3166094030407257;53.413153587341306;53.70589588165283;0.1262000000001538;41000
500.0;500.0;500.0;0.0;0.3338001561658457;53.91464665985107;54.224563430786134;0.12530000000015568;41500
500.0;500.0;500.0;0.0;0.3425206377203576;54.315199005126956;54.63199848937988;0.12440000000015755;42000
500.0;500.0;500.0;0.0;0.35850952958548443;54.86332652282715;55.19647108459473;0.12350000000015943;42500
500.0;500.0;500.0;0.0;0.30677447116095574;55.42661268615723;55.70900189971924;0.1226000000001613;43000
500.0;500.0;500.0;0.0;0.2924919159482233;55.73514115142822;56.00335740661621;0.12170000000016318;43500
500.0;500.0;500.0;0.0;0.35759926252067087;56.17213745117188;56.50332977294922;0.12080000000016505;44000
500.0;500.0;500.0;0.0;0.3785470858095214;56.42607217407227;56.77842154693604;0.11990000000016693;44500
500.0;500.0;500.0;0.0;0.3152306392127648;57.13149444580078;57.419034210205076;0.1190000000001688;45000
500.0;500.0;500.0;0.0;0.3537790285856463;57.29506482696533;57.62024923706055;0.11810000000017068;45500
500.0;500.0;500.0;0.0;0.33358739873208104;57.807877342224124;58.11196297454834;0.11720000000017256;46000
500.0;500.0;500.0;0.0;0.3631003808681853;58.28566776275635;58.621449478149415;0.11630000000017443;46500
500.0;500.0;500.0;0.0;0.3369231830034405;58.79111226654053;59.10123862457275;0.1154000000001763;47000
500.0;500.0;500.0;0.0;0.3739153537461534;59.12082241058349;59.46579040527344;0.11450000000017818;47500
500.0;500.0;500.0;0.0;0.31867492804583164;59.47016902923584;59.760854049682614;0.11360000000018006;48000
500.0;500.0;500.0;0.0;0.3317842453280464;60.00259619140625;60.30612677764893;0.11270000000018193;48500
500.0;500.0;500.0;0.0;0.41135910909902307;60.28028610992432;60.659357002258304;0.11180000000018381;49000
500.0;500.0;500.0;0.0;0.3813624330451712;60.59693623352051;60.946591247558594;0.11090000000018568;49500
500.0;500.0;500.0;0.0;0.38628800508659333;61.040991218566894;61.39633759307861;0.11000000000018756;50000
500.0;500.0;500.0;0.0;0.3276483634333126;61.647968795776364;61.94385115814209;0.10910000000018943;50500
500.0;500.0;500.0;0.0;0.27644683959521354;61.917320457458494;62.16626721191406;0.10820000000019131;51000
500.0;500.0;500.0;0.0;0.2635991524117999;62.45069485473633;62.68913938903808;0.10730000000019319;51500
500.0;500.0;500.0;0.0;0.27439285031938926;62.86528130340576;63.118055618286135;0.10640000000019506;52000
500.0;500.0;500.0;0.0;0.3142349994308315;63.041977348327634;63.33557830047607;0.10550000000019694;52500
500.0;500.0;500.0;0.0;0.1904771727286279;63.624836387634275;63.7968399810791;0.10460000000019881;53000
500.0;500.0;500.0;0.0;0.21324572731927038;64.07467706298829;64.2696678314209;0.10370000000020069;53500
500.0;500.0;500.0;0.0;0.1947147583095357;64.38882331085205;64.56695394134522;0.10280000000020256;54000
500.0;500.0;500.0;0.0;0.21968119056429714;64.53488320159911;64.73663915252686;0.10190000000020444;54500
500.0;500.0;500.0;0.0;0.17409461384778843;65.05120515441895;65.20941092681885;0.10100000000020631;55000
500.0;500.0;500.0;0.0;0.16382257312349974;65.53485297393799;65.68205723571778;0.10010000000020819;55500
500.0;500.0;500.0;0.0;0.17116025488032027;65.8915184173584;66.04647114562988;0.09920000000021006;56000
500.0;500.0;500.0;0.0;0.18437108647637068;66.15903428649902;66.32786989593505;0.09830000000021194;56500
500.0;500.0;500.0;0.0;0.19215781241841615;66.78237509155274;66.95816107940674;0.09740000000021382;57000
500.0;500.0;500.0;0.0;0.20465304569760337;67.09486975860595;67.28449340057374;0.09650000000021569;57500
500.0;500.0;500.0;0.0;0.1874075473153498;67.45166171264648;67.62454283905029;0.09560000000021757;58000
500.0;500.0;500.0;0.0;0.17865019773039967;68.1193154373169;68.28394031524658;0.09470000000021944;58500
500.0;500.0;500.0;0.0;0.14450740722590127;68.63863399505615;68.77000469970703;0.09380000000022132;59000
500.0;500.0;500.0;0.0;0.20288914602878502;69.1400132598877;69.32958897399902;0.09290000000022319;59500
500.0;500.0;500.0;0.0;0.19391823608800768;69.66460962677002;69.84522309875489;0.09200000000022507;60000
500.0;500.0;500.0;0.0;0.11458839434641413;70.33303852844239;70.4358560180664;0.09110000000022694;60500
500.0;500.0;500.0;0.0;0.12905309251882136;70.81309307861328;70.93114128112794;0.09020000000022882;61000
500.0;500.0;500.0;0.0;0.2102405569846742;71.28314038085938;71.4831551361084;0.0893000000002307;61500
500.0;500.0;500.0;0.0;0.1256979943003971;71.91271627807618;72.02957414245606;0.08840000000023257;62000
500.0;500.0;500.0;0.0;0.1766845743500162;72.46998403930664;72.63745021057129;0.08750000000023445;62500
500.0;500.0;500.0;0.0;0.1671443484715419;72.99613954162598;73.15528936767578;0.08660000000023632;63000
500.0;500.0;500.0;0.0;0.1383148597870022;73.49710774230957;73.62704364013672;0.0857000000002382;63500
500.0;500.0;500.0;0.0;0.1638932757548755;74.10020852661133;74.25640596008301;0.08480000000024007;64000
500.0;500.0;500.0;0.0;0.18543662560544907;74.50394624328614;74.68218310546875;0.08390000000024195;64500
500.0;500.0;500.0;0.0;0.18142761762673035;75.06823919677734;75.24225405883789;0.08300000000024382;65000
500.0;500.0;500.0;0.0;0.14146903220540843;75.61083085632325;75.74539544677734;0.0821000000002457;65500
500.0;500.0;500.0;0.0;0.1421312890483532;76.03445903015137;76.17021501159668;0.08120000000024757;66000
